[DIAG] t02-0 total=34.89s hits=0
[DIAG] t02-1 total=0.42s hits=1088
[DIAG] t02-2 total=0.34s hits=1088
[DIAG] t02-3 total=0.35s hits=1088
[DIAG] t02-4 total=0.34s hits=1088
[DIAG] t02-5 total=0.35s hits=1088
[DIAG] t02-6 total=0.35s hits=1088
[DIAG] t02-7 total=0.34s hits=1088
[DIAG] t02-8 total=0.35s hits=1088
[DIAG] t02-9 total=0.35s hits=1088
[DIAG] t02-10 total=0.35s hits=1088
[DIAG] t02-11 total=0.34s hits=1088
[DIAG] t02-12 total=0.34s hits=1088
[DIAG] t02-13 total=0.34s hits=1088
[DIAG] t02-14 total=0.34s hits=1088
[DIAG] t02-15 total=0.34s hits=1088
[DIAG] t02-16 total=0.24s hits=1088
[DIAG] t02-17 total=0.24s hits=1088
[DIAG] t02-18 total=0.24s hits=1088
[DIAG] t02-19 total=0.23s hits=1088
[DIAG] t02-20 total=0.24s hits=1088
[DIAG] t02-21 total=0.24s hits=1088
[DIAG] t02-22 total=0.23s hits=1088
[DIAG] t02-23 total=0.24s hits=1088
[DIAG] t02-24 total=0.24s hits=1088
[DIAG] t02-25 total=0.24s hits=1088
[DIAG] t02-26 total=0.24s hits=1088
[DIAG] t02-27 total=0.23s hits=1088
[DIAG] t02-28 total=0.23s hits=1088
[DIAG] t02-29 total=0.23s hits=1088
[DIAG] t02-30 total=0.25s hits=1088
[DIAG] t02-31 total=0.25s hits=1088
[DIAG] t02-32 total=0.24s hits=1088
[DIAG] t02-33 total=0.24s hits=1088
[DIAG] t02-34 total=0.23s hits=1088
[DIAG] t02-35 total=0.23s hits=1088
[DIAG] t02-36 total=0.23s hits=1088
[DIAG] t02-37 total=0.29s hits=1088
[DIAG] t02-38 total=0.24s hits=1088
[DIAG] t02-39 total=0.25s hits=1088
[DIAG] t02-40 total=0.24s hits=1088
[DIAG] t02-41 total=0.24s hits=1088
[DIAG] t02-42 total=0.24s hits=1088
[DIAG] t02-43 total=0.25s hits=1088
[DIAG] t02-44 total=0.24s hits=1088
[DIAG] t02-45 total=0.24s hits=1088
[DIAG] t02-46 total=0.24s hits=1088
[DIAG] t02-47 total=0.23s hits=1088
[DIAG] t02-48 total=0.23s hits=1088
[DIAG] t02-49 total=0.24s hits=1088
[DIAG] t02-50 total=0.24s hits=1088
[DIAG] t02-51 total=0.24s hits=1088
[DIAG] t02-52 total=0.24s hits=1088
[DIAG] t02-53 total=0.26s hits=1088
[DIAG] t02-54 total=0.24s hits=1088
[DIAG] t02-55 total=0.24s hits=1088
[DIAG] t02-56 total=0.25s hits=1088
[DIAG] t02-57 total=0.24s hits=1088
[DIAG] t02-58 total=0.24s hits=1088
[DIAG] t02-59 total=0.23s hits=1088
[DIAG] t02-60 total=0.24s hits=1088
[DIAG] t02-61 total=0.23s hits=1088
[DIAG] t02-62 total=0.23s hits=1088
[DIAG] t02-63 total=0.23s hits=1088
[DIAG] t02-0 total=0.09s hits=3264
[DIAG] t02-1 total=0.09s hits=3264
[DIAG] t02-2 total=0.09s hits=3264
[DIAG] t02-3 total=0.09s hits=3264
[DIAG] t02-4 total=0.09s hits=3264
[DIAG] t02-5 total=0.09s hits=3264
[DIAG] t02-6 total=0.09s hits=3264
[DIAG] t02-7 total=0.09s hits=3264
[DIAG] t02-8 total=0.09s hits=3264
[DIAG] t02-9 total=0.09s hits=3264
[DIAG] t02-10 total=0.09s hits=3264
[DIAG] t02-11 total=0.09s hits=3264
[DIAG] t02-12 total=0.09s hits=3264
[DIAG] t02-13 total=0.09s hits=3264
[DIAG] t02-14 total=0.09s hits=3264
[DIAG] t02-15 total=0.09s hits=3264
[DIAG] t02-16 total=0.09s hits=3264
[DIAG] t02-17 total=0.09s hits=3264
[DIAG] t02-18 total=0.09s hits=3264
[DIAG] t02-19 total=0.09s hits=3264
[DIAG] t02-20 total=0.09s hits=3264
[DIAG] t02-21 total=0.09s hits=3264
[DIAG] t02-22 total=0.09s hits=3264
[DIAG] t02-23 total=0.10s hits=3264
[DIAG] t02-24 total=0.10s hits=3264
[DIAG] t02-25 total=0.09s hits=3264
[DIAG] t02-26 total=0.09s hits=3264
[DIAG] t02-27 total=0.09s hits=3264
[DIAG] t02-28 total=0.09s hits=3264
[DIAG] t02-29 total=0.09s hits=3264
[DIAG] t02-30 total=0.09s hits=3264
[DIAG] t02-31 total=0.09s hits=3264
[DIAG] t02-32 total=0.09s hits=3264
[DIAG] t02-33 total=0.09s hits=3264
[DIAG] t02-34 total=0.09s hits=3264
[DIAG] t02-35 total=0.09s hits=3264
[DIAG] t02-36 total=0.09s hits=3264
[DIAG] t02-37 total=0.09s hits=3264
[DIAG] t02-38 total=0.09s hits=3264
[DIAG] t02-39 total=0.09s hits=3264
[DIAG] t02-40 total=0.09s hits=3264
[DIAG] t02-41 total=0.09s hits=3264
[DIAG] t02-42 total=0.09s hits=3264
[DIAG] t02-43 total=0.09s hits=3264
[DIAG] t02-44 total=0.09s hits=3264
[DIAG] t02-45 total=0.09s hits=3264
[DIAG] t02-46 total=0.09s hits=3264
[DIAG] t02-47 total=0.09s hits=3264
[DIAG] t02-48 total=0.09s hits=3264
[DIAG] t02-49 total=0.09s hits=3264
[DIAG] t02-50 total=0.09s hits=3264
[DIAG] t02-51 total=0.09s hits=3264
[DIAG] t02-52 total=0.09s hits=3264
[DIAG] t02-53 total=0.09s hits=3264
[DIAG] t02-54 total=0.09s hits=3264
[DIAG] t02-55 total=0.09s hits=3264
[DIAG] t02-56 total=0.09s hits=3264
[DIAG] t02-57 total=0.09s hits=3264
[DIAG] t02-58 total=0.09s hits=3264
[DIAG] t02-59 total=0.09s hits=3264
[DIAG] t02-60 total=0.09s hits=3264
[DIAG] t02-61 total=0.09s hits=3264
[DIAG] t02-62 total=0.09s hits=3264
[DIAG] t02-63 total=0.09s hits=3264
