(EngineCore pid=1464928) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1464928 role=SCHEDULER steps=200 wall_ms/step=2120.07 hooks_ms/step=7.856 cpu_busy=0.12 | build_connector_meta=0.835(1.0x) get_finished_count=0.000(0.0x) get_num_new_matched_tokens=6.976(0.1x) on_new_request=0.001(0.5x) request_finished=0.006(0.1x) request_finished_all_groups=0.006(0.1x) take_events=0.001(1.0x) update_connector_output=0.002(1.0x) update_state_after_alloc=0.029(0.1x)
(Worker_TP4 pid=1465344) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465344 role=WORKER steps=200 wall_ms/step=2302.08 hooks_ms/step=0.671 cpu_busy=0.23 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.091(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.006(1.0x) save_kv_layer=0.052(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.053(34.7x) wait_for_save=0.458(1.0x)
(Worker_TP7 pid=1465347) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465347 role=WORKER steps=200 wall_ms/step=2301.00 hooks_ms/step=0.750 cpu_busy=0.22 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.076(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.056(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.055(34.7x) wait_for_save=0.546(1.0x)
(Worker_TP3 pid=1465343) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465343 role=WORKER steps=200 wall_ms/step=2299.63 hooks_ms/step=0.733 cpu_busy=0.23 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.062(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.058(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.057(34.7x) wait_for_save=0.537(1.0x)
(Worker_TP0 pid=1465340) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465340 role=WORKER steps=200 wall_ms/step=2300.69 hooks_ms/step=0.766 cpu_busy=0.22 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.091(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.058(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.058(34.7x) wait_for_save=0.541(1.0x)
(Worker_TP1 pid=1465341) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465341 role=WORKER steps=200 wall_ms/step=2300.93 hooks_ms/step=0.713 cpu_busy=0.23 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.051(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.055(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.052(34.7x) wait_for_save=0.538(1.0x)
(Worker_TP2 pid=1465342) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465342 role=WORKER steps=200 wall_ms/step=2299.89 hooks_ms/step=0.642 cpu_busy=0.23 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.074(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.006(1.0x) save_kv_layer=0.051(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.048(34.7x) wait_for_save=0.452(1.0x)
(Worker_TP6 pid=1465346) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465346 role=WORKER steps=200 wall_ms/step=2301.89 hooks_ms/step=0.708 cpu_busy=0.22 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.068(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.061(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.059(34.7x) wait_for_save=0.502(1.0x)
(Worker_TP5 pid=1465345) INFO 09-02 19:24:43 [timed_mp_connector.py:99] TIMER pid=1465345 role=WORKER steps=200 wall_ms/step=2301.73 hooks_ms/step=0.706 cpu_busy=0.21 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.080(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.006(1.0x) save_kv_layer=0.056(34.7x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.056(34.7x) wait_for_save=0.497(1.0x)
(EngineCore pid=1464928) INFO 09-02 19:25:01 [timed_mp_connector.py:99] TIMER pid=1464928 role=SCHEDULER steps=200 wall_ms/step=90.23 hooks_ms/step=8.199 cpu_busy=0.95 | build_connector_meta=0.913(1.0x) get_num_new_matched_tokens=7.190(0.1x) on_new_request=0.001(0.3x) request_finished=0.032(0.1x) request_finished_all_groups=0.032(0.1x) take_events=0.001(1.0x) update_connector_output=0.002(1.0x) update_state_after_alloc=0.027(0.1x)
(Worker_TP2 pid=1465342) INFO 09-02 19:25:01 [timed_mp_connector.py:99] TIMER pid=1465342 role=WORKER steps=200 wall_ms/step=90.23 hooks_ms/step=0.689 cpu_busy=1.95 | bind_connector_metadata=0.002(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.113(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.006(1.0x) save_kv_layer=0.052(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.048(36.0x) wait_for_save=0.460(1.0x)
