(EngineCore pid=1505028) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505028 role=SCHEDULER steps=200 wall_ms/step=2067.38 hooks_ms/step=7.101 cpu_busy=0.12 | build_connector_meta=0.917(1.0x) get_finished_count=0.000(0.0x) get_num_new_matched_tokens=6.074(0.1x) on_new_request=0.001(0.3x) request_finished=0.042(0.1x) request_finished_all_groups=0.043(0.1x) sub_check_result=1.062(0.1x) cpusub_check_result=0.012(0.1x) sub_create_key=0.019(0.1x) cpusub_create_key=0.019(0.1x) sub_get_tracker=0.001(0.1x) cpusub_get_tracker=0.001(0.1x) sub_submit_lookup=4.981(0.1x) cpusub_submit_lookup=0.055(0.1x) take_events=0.002(1.0x) update_connector_output=0.003(1.0x) update_state_after_alloc=0.018(0.1x)
(Worker_TP2 pid=1505409) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505409 role=WORKER steps=200 wall_ms/step=2243.53 hooks_ms/step=0.580 cpu_busy=0.21 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.042(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.057(22.3x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.100(22.3x) wait_for_save=0.360(0.6x)
(Worker_TP7 pid=1505414) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505414 role=WORKER steps=200 wall_ms/step=2244.77 hooks_ms/step=0.502 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.060(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.046(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.086(22.3x) wait_for_save=0.293(0.6x)
(Worker_TP4 pid=1505411) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505411 role=WORKER steps=200 wall_ms/step=2243.23 hooks_ms/step=0.588 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.041(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.053(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.098(22.3x) wait_for_save=0.375(0.6x)
(Worker_TP1 pid=1505408) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505408 role=WORKER steps=200 wall_ms/step=2246.03 hooks_ms/step=0.518 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.054(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.006(1.0x) save_kv_layer=0.047(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.096(22.3x) wait_for_save=0.303(0.6x)
(Worker_TP5 pid=1505412) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505412 role=WORKER steps=200 wall_ms/step=2245.34 hooks_ms/step=0.529 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.050(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.050(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.089(22.3x) wait_for_save=0.321(0.6x)
(Worker_TP0 pid=1505407) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505407 role=WORKER steps=200 wall_ms/step=2245.87 hooks_ms/step=0.522 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.034(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.053(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.091(22.3x) wait_for_save=0.326(0.6x)
(Worker_TP3 pid=1505410) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505410 role=WORKER steps=200 wall_ms/step=2244.67 hooks_ms/step=0.552 cpu_busy=0.20 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.057(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.053(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.097(22.3x) wait_for_save=0.326(0.6x)
(Worker_TP6 pid=1505413) INFO 09-02 19:46:53 [timed_mp_connector.py:110] TIMER pid=1505413 role=WORKER steps=200 wall_ms/step=2245.05 hooks_ms/step=0.577 cpu_busy=0.19 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.046(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.060(22.3x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.110(22.3x) wait_for_save=0.340(0.6x)
(EngineCore pid=1505028) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505028 role=SCHEDULER steps=200 wall_ms/step=93.96 hooks_ms/step=8.997 cpu_busy=0.94 | build_connector_meta=0.948(1.0x) get_num_new_matched_tokens=8.001(0.1x) on_new_request=0.001(0.3x) request_finished=0.006(0.1x) request_finished_all_groups=0.007(0.1x) sub_check_result=0.535(0.1x) cpusub_check_result=0.018(0.1x) sub_create_key=0.030(0.1x) cpusub_create_key=0.030(0.1x) sub_get_tracker=0.002(0.1x) cpusub_get_tracker=0.002(0.1x) sub_submit_lookup=7.386(0.1x) cpusub_submit_lookup=0.091(0.1x) take_events=0.002(1.0x) update_connector_output=0.004(1.0x) update_state_after_alloc=0.029(0.1x)
(Worker_TP5 pid=1505412) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505412 role=WORKER steps=200 wall_ms/step=94.03 hooks_ms/step=0.875 cpu_busy=1.77 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.116(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.083(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.148(36.0x) wait_for_save=0.503(1.0x)
(Worker_TP7 pid=1505414) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505414 role=WORKER steps=200 wall_ms/step=94.05 hooks_ms/step=0.771 cpu_busy=1.94 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.098(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.071(36.0x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.134(36.0x) wait_for_save=0.444(1.0x)
(Worker_TP2 pid=1505409) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505409 role=WORKER steps=200 wall_ms/step=94.06 hooks_ms/step=0.900 cpu_busy=1.88 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.074(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.075(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.139(36.0x) wait_for_save=0.587(1.0x)
(Worker_TP3 pid=1505410) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505410 role=WORKER steps=200 wall_ms/step=94.03 hooks_ms/step=0.786 cpu_busy=1.94 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.090(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.073(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.140(36.0x) wait_for_save=0.457(1.0x)
(Worker_TP1 pid=1505408) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505408 role=WORKER steps=200 wall_ms/step=94.04 hooks_ms/step=0.847 cpu_busy=1.81 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.111(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.081(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.150(36.0x) wait_for_save=0.481(1.0x)
(Worker_TP4 pid=1505411) INFO 09-02 19:47:11 [timed_mp_connector.py:110] TIMER pid=1505411 role=WORKER steps=200 wall_ms/step=94.05 hooks_ms/step=0.896 cpu_busy=1.77 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.100(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.078(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.147(36.0x) wait_for_save=0.545(1.0x)
(Worker_TP0 pid=1505407) INFO 09-02 19:47:12 [timed_mp_connector.py:110] TIMER pid=1505407 role=WORKER steps=200 wall_ms/step=94.16 hooks_ms/step=0.804 cpu_busy=1.75 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.078(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.079(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.141(36.0x) wait_for_save=0.481(1.0x)
(Worker_TP6 pid=1505413) INFO 09-02 19:47:12 [timed_mp_connector.py:110] TIMER pid=1505413 role=WORKER steps=200 wall_ms/step=94.24 hooks_ms/step=1.088 cpu_busy=1.33 | bind_connector_metadata=0.006(1.0x) build_connector_worker_meta=0.002(1.0x) clear_connector_metadata=0.002(1.0x) get_block_ids_with_load_errors=0.004(1.0x) get_finished=0.082(1.0x) get_kv_connector_stats=0.002(1.0x) handle_preemptions=0.012(1.0x) save_kv_layer=0.093(36.0x) start_load_kv=0.005(1.0x) wait_for_layer_load=0.169(36.0x) wait_for_save=0.712(1.0x)
