(EngineCore pid=1595738) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1595738 role=SCHEDULER steps=200 wall_ms/step=2116.04 hooks_ms/step=7.034 cpu_busy=0.13 | build_connector_meta=1.074(1.0x) get_finished_count=0.000(0.0x) get_num_new_matched_tokens=5.906(0.4x) on_new_request=0.001(0.3x) request_finished=0.006(0.1x) request_finished_all_groups=0.007(0.1x) sub_async_collect=0.002(0.1x) cpusub_async_collect=0.002(0.1x) sub_async_defer=0.001(0.2x) cpusub_async_defer=0.001(0.2x) sub_async_submit=0.042(0.4x) cpusub_async_submit=0.042(0.4x) sub_check_result=5.707(0.1x) cpusub_check_result=0.016(0.1x) sub_create_key=0.034(0.2x) cpusub_create_key=0.034(0.2x) sub_get_tracker=0.002(0.4x) cpusub_get_tracker=0.002(0.4x) take_events=0.002(1.0x) update_connector_output=0.004(1.0x) update_state_after_alloc=0.035(0.1x)
(Worker_TP1 pid=1596178) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596178 role=WORKER steps=200 wall_ms/step=2293.94 hooks_ms/step=0.774 cpu_busy=0.24 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.135(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.071(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.129(32.2x) wait_for_save=0.415(0.9x)
(Worker_TP2 pid=1596179) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596179 role=WORKER steps=200 wall_ms/step=2293.41 hooks_ms/step=0.900 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.240(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.072(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.130(32.2x) wait_for_save=0.434(0.9x)
(Worker_TP6 pid=1596183) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596183 role=WORKER steps=200 wall_ms/step=2294.82 hooks_ms/step=0.909 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.213(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.070(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.130(32.2x) wait_for_save=0.469(0.9x)
(Worker_TP5 pid=1596182) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596182 role=WORKER steps=200 wall_ms/step=2294.28 hooks_ms/step=0.925 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.239(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.068(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.125(32.2x) wait_for_save=0.468(0.9x)
(Worker_TP7 pid=1596184) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596184 role=WORKER steps=200 wall_ms/step=2294.58 hooks_ms/step=0.900 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.209(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.066(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.128(32.2x) wait_for_save=0.474(0.9x)
(Worker_TP4 pid=1596181) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596181 role=WORKER steps=200 wall_ms/step=2293.66 hooks_ms/step=0.890 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.223(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.074(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.133(32.2x) wait_for_save=0.436(0.9x)
(Worker_TP3 pid=1596180) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596180 role=WORKER steps=200 wall_ms/step=2292.86 hooks_ms/step=0.868 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.213(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.072(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.131(32.2x) wait_for_save=0.428(0.9x)
(Worker_TP0 pid=1596177) INFO 09-02 20:38:09 [timed_mp_connector.py:110] TIMER pid=1596177 role=WORKER steps=200 wall_ms/step=2292.34 hooks_ms/step=0.891 cpu_busy=0.22 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.191(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.077(32.2x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.134(32.2x) wait_for_save=0.464(0.9x)
(EngineCore pid=1595738) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1595738 role=SCHEDULER steps=200 wall_ms/step=95.35 hooks_ms/step=6.318 cpu_busy=0.97 | build_connector_meta=1.164(1.0x) get_num_new_matched_tokens=4.941(0.8x) on_new_request=0.001(0.5x) request_finished=0.083(0.1x) request_finished_all_groups=0.084(0.1x) sub_async_collect=0.002(0.1x) cpusub_async_collect=0.002(0.1x) sub_async_defer=0.002(0.6x) cpusub_async_defer=0.002(0.6x) sub_async_submit=0.332(0.8x) cpusub_async_submit=0.331(0.8x) sub_check_result=4.143(0.1x) cpusub_check_result=0.016(0.1x) sub_create_key=0.083(0.3x) cpusub_create_key=0.083(0.3x) sub_get_tracker=0.002(0.8x) cpusub_get_tracker=0.003(0.8x) take_events=0.002(1.0x) update_connector_output=0.004(1.0x) update_state_after_alloc=0.040(0.1x)
(Worker_TP3 pid=1596180) INFO 09-02 20:38:28 [timed_mp_connector.py:110] TIMER pid=1596180 role=WORKER steps=200 wall_ms/step=95.34 hooks_ms/step=0.816 cpu_busy=1.72 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.122(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.078(35.8x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.142(35.8x) wait_for_save=0.451(1.0x)
