prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.2604787349700928,0.09178590774536133,1,1,1787131693.8648193,1787131694.2170844
11174,42,0.22385239601135254,0.1321401596069336,1,2,1787131709.8965507,1787131710.2525442
13059,2,0.3016338348388672,0.0015578269958496094,2,1,1787131694.3659282,1787131694.6691206
13089,25,0.17722034454345703,0.06244039535522461,2,2,1787131710.4050076,1787131710.6446688
9496,2,0.2202739715576172,0.0015933513641357422,3,1,1787131694.8669972,1787131695.0888653
9528,22,0.15030264854431152,0.056859731674194336,3,2,1787131710.9107838,1787131711.1179469
13229,2,0.2954840660095215,0.0015625953674316406,4,1,1787131695.368107,1787131695.6651545
13264,64,0.17981171607971191,0.19183921813964844,4,2,1787131711.416502,1787131711.788154
11719,2,0.2549431324005127,0.001558065414428711,5,1,1787131695.8691337,1787131696.1256354
11757,33,0.15964055061340332,0.09021854400634766,5,2,1787131711.9222755,1787131712.172135
9656,10,0.2188873291015625,0.018601179122924805,6,1,1787131696.3700752,1787131696.6075647
9700,52,0.13341879844665527,0.15522336959838867,6,2,1787131712.4277987,1787131712.7164414
12303,6,0.2719871997833252,0.0022542476654052734,7,1,1787131696.8711274,1787131697.1453698
12334,53,0.19901776313781738,0.27428102493286133,7,2,1787131712.9334235,1787131713.4067235
10253,28,0.21650910377502441,0.0811307430267334,8,1,1787131697.3719943,1787131697.669635
10307,10,0.1546790599822998,0.01672649383544922,8,2,1787131713.4392867,1787131713.6106932
8906,2,0.20138764381408691,0.0015194416046142578,9,1,1787131697.8729112,1787131698.075819
8933,64,0.20381426811218262,0.1949448585510254,9,2,1787131713.9451199,1787131714.3438797
8284,33,0.18478989601135254,0.10094451904296875,10,1,1787131698.3735523,1787131698.6592872
8345,2,0.19649910926818848,0.0015592575073242188,10,2,1787131714.4505577,1787131714.648617
9383,14,0.21581053733825684,0.03203463554382324,11,1,1787131698.874527,1787131699.1223729
9425,36,0.145003080368042,0.10202312469482422,11,2,1787131714.9556987,1787131715.2027256
8281,42,0.22107172012329102,0.20838356018066406,12,1,1787131699.3753543,1787131699.8048105
8350,2,0.12950515747070312,0.0014791488647460938,12,2,1787131715.4584875,1787131715.5894725
14039,4,0.31137609481811523,0.002013683319091797,13,1,1787131699.8761768,1787131700.1895678
14074,2,0.18510174751281738,0.0016019344329833984,13,2,1787131715.9610093,1787131716.1477141
10372,2,0.22070908546447754,0.0015900135040283203,14,1,1787131700.3772042,1787131700.5995042
10398,18,0.14934754371643066,0.042081594467163086,14,2,1787131716.463628,1787131716.655058
10093,11,0.22662091255187988,0.018004894256591797,15,1,1787131700.878397,1787131701.1230235
10134,5,0.14847350120544434,0.0015137195587158203,15,2,1787131716.9661398,1787131717.1161277
8489,10,0.19721460342407227,0.01811838150024414,16,1,1787131701.3793638,1787131701.5946977
8527,20,0.13121843338012695,0.051151275634765625,16,2,1787131717.4686112,1787131717.6509817
8810,10,0.2042238712310791,0.017470121383666992,17,1,1787131701.88044,1787131702.1021347
8849,4,0.13729643821716309,0.0015096664428710938,17,2,1787131717.9710717,1787131718.1098788
11424,55,0.30727362632751465,0.24129819869995117,18,1,1787131702.38143,1787131702.9300027
11506,47,0.1672201156616211,0.14033842086791992,18,2,1787131718.4734874,1787131718.7810469
12757,2,0.3468005657196045,0.0015766620635986328,19,1,1787131702.8824644,1787131703.2308424
12796,50,0.16408848762512207,0.15029001235961914,19,2,1787131718.9760022,1787131719.2903812
8665,10,0.1938014030456543,0.025476455688476562,20,1,1787131703.3836985,1787131703.602977
8706,45,0.14060759544372559,0.13315939903259277,20,2,1787131719.4786317,1787131719.7524
13813,10,0.29636383056640625,0.009983062744140625,21,1,1787131703.8853068,1787131704.1916544
13847,10,0.18993377685546875,0.011885881423950195,21,2,1787131719.9812143,1787131720.1830347
11088,18,0.23901796340942383,0.040569305419921875,22,1,1787131704.386494,1787131704.6660821
11136,30,0.16058945655822754,0.1627054214477539,22,2,1787131720.4837008,1787131720.806996
8260,22,0.19208526611328125,0.05756640434265137,23,1,1787131704.887607,1787131705.137262
8310,55,0.12815618515014648,0.16623854637145996,23,2,1787131720.9864767,1787131721.2808723
10080,2,0.2198944091796875,0.0015680789947509766,24,1,1787131705.388944,1787131705.610407
10107,8,0.1504652500152588,0.009036540985107422,24,2,1787131721.3916135,1787131721.5511162
