prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
11116,33,0.256119966506958,0.09465837478637695,1,1,1787133298.9841304,1787133299.3349092
11174,42,0.2548830509185791,0.12789654731750488,1,2,1787133315.0190978,1787133315.4018786
13059,2,0.2780342102050781,0.001737833023071289,2,1,1787133299.486267,1787133299.76604
13089,25,0.2671046257019043,0.06647658348083496,2,2,1787133315.5269656,1787133315.8605475
9496,2,0.2175905704498291,0.0017304420471191406,3,1,1787133299.9876506,1787133300.2069728
9528,22,0.19468140602111816,0.05989837646484375,3,2,1787133316.0327368,1787133316.2873173
13229,2,0.28871655464172363,0.0017786026000976562,4,1,1787133300.4889965,1787133300.7794926
13264,64,0.2681574821472168,0.20486950874328613,4,2,1787133316.5382142,1787133317.0112422
11719,2,0.23787784576416016,0.0017545223236083984,5,1,1787133300.990364,1787133301.2299974
11757,33,0.23316192626953125,0.09608817100524902,5,2,1787133317.043561,1787133317.3728118
9656,10,0.20600438117980957,0.018795013427734375,6,1,1787133301.4915712,1787133301.7163715
9700,52,0.19948029518127441,0.16469430923461914,6,2,1787133317.549377,1787133317.9135523
12303,6,0.260298490524292,0.0021593570709228516,7,1,1787133301.9927266,1787133302.2551851
12334,53,0.24884390830993652,0.16658449172973633,7,2,1787133318.0557356,1787133318.4711647
10253,28,0.20306921005249023,0.08123254776000977,8,1,1787133302.4937298,1787133302.7780325
10307,10,0.20928239822387695,0.01723027229309082,8,2,1787133318.5610895,1787133318.7876031
8906,2,0.19347381591796875,0.0015633106231689453,9,1,1787133302.9949338,1787133303.1899717
8933,64,0.18834447860717773,0.20690226554870605,9,2,1787133319.066794,1787133319.4620414
8284,33,0.1701521873474121,0.1000981330871582,10,1,1787133303.4960165,1787133303.7662675
8345,2,0.1673731803894043,0.0015649795532226562,10,2,1787133319.5725276,1787133319.7414665
9383,14,0.20075297355651855,0.03237509727478027,11,1,1787133303.9970105,1787133304.2301395
9425,36,0.19873833656311035,0.1093595027923584,11,2,1787133320.0779567,1787133320.386055
8281,42,0.164384126663208,0.13077473640441895,12,1,1787133304.499131,1787133304.7942908
8350,2,0.16532182693481445,0.0015597343444824219,12,2,1787133320.5835984,1787133320.7504807
14039,4,0.27164649963378906,0.0018620491027832031,13,1,1787133305.0007474,1787133305.274257
14074,2,0.2730844020843506,0.001651763916015625,13,2,1787133321.0888617,1787133321.3635986
10372,2,0.21219682693481445,0.0016002655029296875,14,1,1787133305.501909,1787133305.71571
10398,18,0.2156214714050293,0.045064449310302734,14,2,1787133321.5944753,1787133321.855162
10093,11,0.20852088928222656,0.021645784378051758,15,1,1787133306.00331,1787133306.2334776
10134,5,0.20453929901123047,0.001956939697265625,15,2,1787133322.0998883,1787133322.3063855
8489,10,0.1739797592163086,0.020381450653076172,16,1,1787133306.5046198,1787133306.6989822
8527,20,0.172652006149292,0.05460810661315918,16,2,1787133322.5053427,1787133322.7326035
